address,size,names,assemblyFile,fileByteOffset
0xac4860,4,_ZN7cocos2d24CanvasRenderingContext2D12setTransformEffffff,text.asm,606146
0xac4864,592,_ZN7cocos2d9JniHelper9newObjectIJEEEP8_jobjectRKNSt6__ndk112basic_stringIcNS4_11char_traitsIcEENS4_9allocatorIcEEEEDpT_,text.asm,606262
0xac4ab4,552,_ZN7cocos2d9JniHelper20callObjectVoidMethodIJffEEEvP8_jobjectRKNSt6__ndk112basic_stringIcNS4_11char_traitsIcEENS4_9allocatorIcEEEESC_DpT_,text.asm,614605
0xac4cdc,500,_ZN28CanvasRenderingContext2DImpl8fillDataEv,text.asm,622486
0xac4ed0,156,_ZN7_JNIEnv14CallVoidMethodEP8_jobjectP10_jmethodIDz,text.asm,629385
0xac4f6c,452,_ZN7cocos2d9JniHelper25callObjectByteArrayMethodIJEEEP11_jbyteArrayP8_jobjectRKNSt6__ndk112basic_stringIcNS6_11char_traitsIcEENS6_9allocatorIcEEEESE_DpT_,text.asm,631710
0xac5130,488,_ZN7cocos2d9JniHelper20callObjectVoidMethodIJffffEEEvP8_jobjectRKNSt6__ndk112basic_stringIcNS4_11char_traitsIcEENS4_9allocatorIcEEEESC_DpT_,text.asm,638139
0xac5318,200,_ZN7cocos2d9JniHelper15getJNISignatureIfJfffEEENSt6__ndk112basic_stringIcNS2_11char_traitsIcEENS2_9allocatorIcEEEET_DpT0_,text.asm,645058
0xac53e0,264,_ZN7cocos2d9JniHelper15getJNISignatureIfJffEEENSt6__ndk112basic_stringIcNS2_11char_traitsIcEENS2_9allocatorIcEEEET_DpT0_,text.asm,647989
0xac54e8,616,_ZN7cocos2d9JniHelper20callObjectVoidMethodIJNSt6__ndk112basic_stringIcNS2_11char_traitsIcEENS2_9allocatorIcEEEEfffEEEvP8_jobjectRKS8_SC_DpT_,text.asm,651830
0xac5750,212,_ZN7cocos2d9JniHelper15getJNISignatureINSt6__ndk112basic_stringIcNS2_11char_traitsIcEENS2_9allocatorIcEEEEJfffEEES8_T_DpT0_,text.asm,660538
0xac5824,528,_ZN7cocos2d9JniHelper21callObjectFloatMethodIJNSt6__ndk112basic_stringIcNS2_11char_traitsIcEENS2_9allocatorIcEEEEEEEfP8_jobjectRKS8_SC_DpT_,text.asm,663656
0xac5a34,156,_ZN7_JNIEnv15CallFloatMethodEP8_jobjectP10_jmethodIDz,text.asm,671133
0xac5ad0,436,_ZN7cocos2d9JniHelper20callObjectVoidMethodIJEEEvP8_jobjectRKNSt6__ndk112basic_stringIcNS4_11char_traitsIcEENS4_9allocatorIcEEEESC_DpT_,text.asm,673459
0xac5c84,460,_ZN7cocos2d9JniHelper20callObjectVoidMethodIJfEEEvP8_jobjectRKNSt6__ndk112basic_stringIcNS4_11char_traitsIcEENS4_9allocatorIcEEEESC_DpT_,text.asm,679670
0xac5e50,508,_ZN7cocos2d9JniHelper20callObjectVoidMethodIJNSt6__ndk112basic_stringIcNS2_11char_traitsIcEENS2_9allocatorIcEEEEEEEvP8_jobjectRKS8_SC_DpT_,text.asm,686214
0xac604c,648,_ZN7cocos2d9JniHelper20callObjectVoidMethodIJNSt6__ndk112basic_stringIcNS2_11char_traitsIcEENS2_9allocatorIcEEEEfbbbbEEEvP8_jobjectRKS8_SC_DpT_,text.asm,693406
0xac62d4,228,_ZN7cocos2d9JniHelper15getJNISignatureINSt6__ndk112basic_stringIcNS2_11char_traitsIcEENS2_9allocatorIcEEEEJfbbbbEEES8_T_DpT0_,text.asm,702581
0xac63b8,188,_ZN7cocos2d9JniHelper15getJNISignatureIfJbbbbEEENSt6__ndk112basic_stringIcNS2_11char_traitsIcEENS2_9allocatorIcEEEET_DpT0_,text.asm,705897
0xac6474,200,_ZN7cocos2d9JniHelper15getJNISignatureIbJbbbEEENSt6__ndk112basic_stringIcNS2_11char_traitsIcEENS2_9allocatorIcEEEET_DpT0_,text.asm,708682
0xac653c,264,_ZN7cocos2d9JniHelper15getJNISignatureIbJbbEEENSt6__ndk112basic_stringIcNS2_11char_traitsIcEENS2_9allocatorIcEEEET_DpT0_,text.asm,711613
0xac6644,460,_ZN7cocos2d9JniHelper20callObjectVoidMethodIJiEEEvP8_jobjectRKNSt6__ndk112basic_stringIcNS4_11char_traitsIcEENS4_9allocatorIcEEEESC_DpT_,text.asm,715454
